Mode,Time UTC,Freq Hz
1F,9.99992,-0.20398
1F,10.06322,-0.21249
1F,10.11386,-0.16143
1F,10.24046,-0.11037
1F,10.32908,0.01728
1F,10.39238,0.06834
1F,10.44302,0.07685
1F,10.50632,0.04281
1F,10.63292,-0.05931
1F,10.70888,-0.16994
1F,10.75952,-0.28908
1F,10.7975,-0.29759
1F,10.84814,-0.27206
1F,10.93676,-0.07633
1F,10.9874,-0.00825
1F,11.02538,0.04281
1F,11.08868,0.06834
1F,11.12666,0.09387
1F,11.18996,0.05983
1F,11.26592,0.01728
1F,11.40518,-0.0508
1F,11.50646,-0.0508
1F,11.56976,-0.1359
1F,11.64572,-0.18696
1F,11.747,-0.1359
1F,11.83562,-0.1359
1F,11.89892,-0.16994
1F,12.01286,-0.07633
1F,12.13946,0.07685
1F,12.22808,0.17046
1F,12.32936,0.30662
1F,12.41798,0.33215
1F,12.5699,0.46831
1F,12.6965,0.45129
1F,12.74714,0.43427
1F,13.013,0.2896
1F,13.05098,0.25556
1F,13.10162,0.26407
1F,13.15226,0.23003
1F,13.21556,0.22152
1F,13.29152,0.2045
1F,13.65866,0.17046
1F,13.73462,0.15344
1F,13.88654,0.16195
1F,14.05112,0.1194
1F,14.17772,0.07685
1F,14.26634,0.05132
1F,14.35496,0.04281
1F,14.60816,0.00026
1F,14.70944,-0.01676
1F,14.8487,-0.03378
1F,15.00062,-0.04229
2F,12.0635,0.00026
2F,12.1268,0.22152
2F,12.1901,0.4598
2F,12.3167,0.59596
2F,12.46862,0.75765
2F,12.60788,0.85126
2F,12.73448,0.92785
2F,12.91172,0.9704
2F,13.1396,0.76616
2F,13.36748,0.58745
2F,13.60802,0.40874
2F,13.7726,0.34066
2F,13.91186,0.28109
2F,14.05112,0.27258
2F,14.13974,0.24705
2F,14.38028,0.18748
2F,14.57018,0.13642
2F,14.86136,0.09387
2F,15.00062,0.07685
2F,15.00062,0.07685
2F,15.00062,0.07685
2F,15.00062,0.07685
2F,15.00062,0.07685
2F,15.00062,0.07685
E,12.68384,0.0343
E,13.49408,-0.01676
E,13.88654,-0.03378
E,14.05112,-0.0508
E,14.31698,-0.0508
E,14.57018,-0.03378
E,14.81072,-0.04229
E,14.88668,-0.0508
E,15.25382,-0.05931
E,15.50702,-0.04229
E,15.74756,-0.03378
E,15.95012,-0.03378
