UTC,1 Hop,2 Hop,3 Hop,4 Hop
12:01,4.89,5.99,,
12:15,4.93,6.23,,
12:27,4.87,5.93,,
12:28,4.87,5.93,,
12:43,4.77,5.91,,
12:45,4.51,5.63,,
12:58,4.37,5.75,,
13:00,4.37,5.36,,
13:16,4.81,5.63,,
13:29,4.71,5.67,,
13:42,4.69,5.65,,
13:45,4.75,5.63,,7.41
13:47,4.67,5.61,,7.43
13:51,4.59,5.59,,7.45
14:00,4.51,5.58,6.65,7.47
14:02,4.53,5.57,6.53,7.48
14:13,4.57,5.56,6.53,7.49
14:15,4.57,5.55,6.57,7.51
14:20,4.59,5.54,6.61,7.51
14:21,4.61,5.53,6.56,7.5
14:25,4.61,5.52,6.51,7.5
14:30,4.63,5.5,6.77,7.49
14:44,4.61,5.49,6.43,7.49
14:45,4.63,5.47,6.43,7.48
14:48,4.49,5.46,6.43,7.48
14:50,4.5,5.44,6.43,
14:52,4.51,5.42,6.43,
14:56,4.52,5.4,6.43,
15:00,4.53,5.43,6.43,
15:02,4.54,5.46,6.49,
15:04,4.55,5.56,6.55,
15:05,4.56,5.66,6.36,
15:06,4.57,5.77,6.39,
15:08,4.59,,6.42,
15:14,4.64,,6.44,
15:21,4.71,,6.47,
17:55,4.67,,,
,,,,
,,,,
